contact_gid,organization_gid,message_subject,message_date,role_in_message,interaction_type,summary,human_note
412aff50-8750-5c12-a99a-d6d2365f074a,79ef90eb-b1bc-547f-9121-003d2b620b71,,,requested_quote,email,"{'topic': 'Ответ на запрос КП по наборам для ПЦР', 'product_interest': 'Наборы для ПЦР по конечной точке: ВПЧ 16/18 высокого риска, ВПЧ 16/18 низкого риска, Герпес 1,2', 'communication_stage': 'отказ в предоставлении КП', 'request_type': 'информирование о снятии с производства'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,sender,email,"{'topic': 'Ответ на запрос КП по наборам для ПЦР', 'product_interest': 'Наборы для ПЦР по конечной точке: ВПЧ 16/18 высокого риска, ВПЧ 16/18 низкого риска, Герпес 1,2', 'communication_stage': 'отказ в предоставлении КП', 'request_type': 'информирование о снятии с производства'}",
fa907d19-d7a5-5243-9319-b0e649c84a7d,dc827ae5-f14c-5fa1-8397-e0c32aa5757a,,,sender,email,"{'topic': 'Обновление коммерческого предложения для поставки оборудования в ЦГИЭ Республики Хакасия', 'product_interest': 'ДТпрайм 5М6, ДТпрайм II6М6, ноутбук адаптированный', 'communication_stage': 'обсуждение условий и обновление коммерческого предложения', 'request_type': 'запрос на обновление КП с уточнением цены'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Обновление коммерческого предложения для поставки оборудования в ЦГИЭ Республики Хакасия', 'product_interest': 'ДТпрайм 5М6, ДТпрайм II6М6, ноутбук адаптированный', 'communication_stage': 'обсуждение условий и обновление коммерческого предложения', 'request_type': 'запрос на обновление КП с уточнением цены'}",
aa275056-36e1-5d9a-b6ef-3803d33e353f,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,cc,email,"{'topic': 'Обновление коммерческого предложения для поставки оборудования в ЦГИЭ Республики Хакасия', 'product_interest': 'ДТпрайм 5М6, ДТпрайм II6М6, ноутбук адаптированный', 'communication_stage': 'обсуждение условий и обновление коммерческого предложения', 'request_type': 'запрос на обновление КП с уточнением цены'}",
0c3a3bae-6975-5223-a507-65aaaf84c57d,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,sender,email,"{'topic': 'Участие в конференции КДЛ в Новокузнецке 30-31 октября', 'product_interest': 'Оборудование ДТпрайм II, ДТспин, реагенты NTCM, Пр-МЧ рапид II', 'communication_stage': 'планирование участия и согласование условий', 'request_type': 'подтверждение получения информации и согласование лектора'}",
aa275056-36e1-5d9a-b6ef-3803d33e353f,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Участие в конференции КДЛ в Новокузнецке 30-31 октября', 'product_interest': 'Оборудование ДТпрайм II, ДТспин, реагенты NTCM, Пр-МЧ рапид II', 'communication_stage': 'планирование участия и согласование условий', 'request_type': 'подтверждение получения информации и согласование лектора'}",
91a05df8-2e76-561a-a129-1f4c8e0f820f,ef485f15-63ee-5569-bf4d-c62b0ab12067,,,sent_quote,email,"{'topic': 'Участие в конференции КДЛ в Новокузнецке 30-31 октября', 'product_interest': 'Оборудование ДТпрайм II, ДТспин, реагенты NTCM, Пр-МЧ рапид II', 'communication_stage': 'планирование участия и согласование условий', 'request_type': 'подтверждение получения информации и согласование лектора'}",
80babb01-6e19-54fd-a7d8-0eb4d1627900,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,requested_quote,email,"{'topic': 'Участие в конференции КДЛ в Новокузнецке 30-31 октября', 'product_interest': 'Оборудование ДТпрайм II, ДТспин, реагенты NTCM, Пр-МЧ рапид II', 'communication_stage': 'планирование участия и согласование условий', 'request_type': 'подтверждение получения информации и согласование лектора'}",
99beee87-5212-5f7e-a9a6-5d1823fc4c71,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,follow_up,email,"{'topic': 'Участие в конференции КДЛ в Новокузнецке 30-31 октября', 'product_interest': 'Оборудование ДТпрайм II, ДТспин, реагенты NTCM, Пр-МЧ рапид II', 'communication_stage': 'планирование участия и согласование условий', 'request_type': 'подтверждение получения информации и согласование лектора'}",
e5600cd6-8e38-5749-94fd-67787dc762e5,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,sender,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для вирусологической лаборатории', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для вирусологической лаборатории', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
49029d19-eace-5f84-bf62-de4edab46db9,25eab71a-64f5-5bdb-a3e6-0f9667ab4b3d,,,sender,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для вирусологической лаборатории', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос', 'request_type': 'запрос КП'}",
a3ac53de-6e12-5e5e-8cbc-2a8a1714c631,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,sender,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для Центра гигиены и эпидемиологии в Республике Хакасия', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос КП', 'request_type': 'запрос КП'}",
e5600cd6-8e38-5749-94fd-67787dc762e5,58a49494-b44e-5b2f-9263-0ce9005f10e3,,,recipient,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для Центра гигиены и эпидемиологии в Республике Хакасия', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос КП', 'request_type': 'запрос КП'}",
49029d19-eace-5f84-bf62-de4edab46db9,25eab71a-64f5-5bdb-a3e6-0f9667ab4b3d,,,requested_quote,email,"{'topic': 'Запрос коммерческого предложения на амплификатор для Центра гигиены и эпидемиологии в Республике Хакасия', 'product_interest': 'Амплификатор на 6 каналов - 1 шт.', 'communication_stage': 'первичный запрос КП', 'request_type': 'запрос КП'}",
